FID,Species ID,Tree ID,Scientific name,Common name,DBH (in.),lat,long
,,998,Pinus strobus,eastern white pine,10.8,35.31069097,-83.18275303
,,999,Pinus strobus,eastern white pine,9.1,35.31069098,-83.18275302
,,1000,Pinus strobus,eastern white pine,13.6,35.31069099,-83.18275301
,,1001,Pinus strobus,eastern white pine,12.3,35.310691,-83.182753
,,1002,Pinus strobus,eastern white pine,10.4,35.31069101,-83.18275299
,,1003,Pinus strobus,eastern white pine,14.6,35.31069102,-83.18275298
,,1004,Pinus strobus,eastern white pine,13.6,35.31069103,-83.18275297
,,1005,Pinus strobus,eastern white pine,11.8,35.31069104,-83.18275296
,,1006,Pinus strobus,eastern white pine,10,35.31069105,-83.18275295
,,1007,Pinus strobus,eastern white pine,15.6,35.31069106,-83.18275294
,,1008,Pinus strobus,eastern white pine,11.9,35.31069107,-83.18275293
,,1009,Pinus strobus,eastern white pine,15.4,35.31069108,-83.18275292
,,1010,Pinus strobus,eastern white pine,9.5,35.31069109,-83.18275291
,,1011,Pinus strobus,eastern white pine,14.1,35.3106911,-83.1827529
,,1012,Pinus strobus,eastern white pine,10.7,35.31069111,-83.18275289
,,1013,Pinus strobus,eastern white pine,16.2,35.31069112,-83.18275288
,,1014,Pinus strobus,eastern white pine,10.4,35.31069113,-83.18275287
,,1015,Pinus strobus,eastern white pine,16.6,35.31069114,-83.18275286
,,1016,Pinus strobus,eastern white pine,10.2,35.31069115,-83.18275285
,,1017,Pinus strobus,eastern white pine,15.4,35.31069116,-83.18275284
,,1018,Pinus strobus,eastern white pine,12.7,35.31069117,-83.18275283
,,1019,Pinus strobus,eastern white pine,19.6,35.31069118,-83.18275282
,,1020,Pinus strobus,eastern white pine,13.1,35.31069119,-83.18275281
,,1021,Pinus strobus,eastern white pine,16.5,35.3106912,-83.1827528
,,1022,Pinus strobus,eastern white pine,12.3,35.31069121,-83.18275279
,,1023,Pinus strobus,eastern white pine,18.3,35.31069122,-83.18275278
,,1024,Pinus strobus,eastern white pine,10.3,35.31069123,-83.18275277
,,1025,Pinus strobus,eastern white pine,13.2,35.31069124,-83.18275276
,,1026,Pinus strobus,eastern white pine,14.7,35.31069125,-83.18275275
,,1027,Pinus strobus,eastern white pine,12.3,35.31069126,-83.18275274
,,1028,Pinus strobus,eastern white pine,10.2,35.31069127,-83.18275273
,,1029,Pinus strobus,eastern white pine,10.3,35.31069128,-83.18275272
,,1030,Pinus strobus,eastern white pine,13.6,35.31069129,-83.18275271
,,1031,Pinus strobus,eastern white pine,9.7,35.3106913,-83.1827527
,,1032,Pinus strobus,eastern white pine,9.8,35.31069131,-83.18275269
,,1033,Pinus strobus,eastern white pine,11.9,35.31069132,-83.18275268
,,1034,Pinus strobus,eastern white pine,14,35.31069133,-83.18275267
,,1035,Pinus strobus,eastern white pine,11.3,35.31069134,-83.18275266
,,1036,Pinus strobus,eastern white pine,9.9,35.31069135,-83.18275265
,,1037,Pinus strobus,eastern white pine,15.2,35.31069136,-83.18275264
,,1038,Pinus strobus,eastern white pine,12.7,35.31069137,-83.18275263
,,1039,Pinus strobus,eastern white pine,9.1,35.31069138,-83.18275262
,,1040,Pinus strobus,eastern white pine,15.7,35.31069139,-83.18275261
,,1041,Pinus strobus,eastern white pine,11.4,35.3106914,-83.1827526
,,1042,Pinus strobus,eastern white pine,16.5,35.31069141,-83.18275259
,,1043,Pinus strobus,eastern white pine,18,35.31069142,-83.18275258
,,1044,Pinus strobus,eastern white pine,11.1,35.31069143,-83.18275257
,,1045,Pinus strobus,eastern white pine,17.1,35.31069144,-83.18275256
,,1046,Pinus strobus,eastern white pine,15.1,35.31069145,-83.18275255
,,1047,Pinus strobus,eastern white pine,10.1,35.31069146,-83.18275254
,,1048,Pinus strobus,eastern white pine,13.7,35.31069147,-83.18275253
,,1049,Pinus strobus,eastern white pine,13.5,35.31069148,-83.18275252
,,1050,Pinus strobus,eastern white pine,14,35.31069149,-83.18275251
,,1051,Pinus strobus,eastern white pine,12,35.3106915,-83.1827525
,,1052,Pinus strobus,eastern white pine,15.2,35.31069151,-83.18275249
,,1053,Pinus strobus,eastern white pine,10.2,35.31069152,-83.18275248
,,1054,Pinus strobus,eastern white pine,11.4,35.31069153,-83.18275247
,,1055,Pinus strobus,eastern white pine,12.4,35.31069154,-83.18275246
,,1056,Pinus strobus,eastern white pine,15.3,35.31069155,-83.18275245
,,1057,Pinus strobus,eastern white pine,18,35.31069156,-83.18275244
,,1058,Pinus strobus,eastern white pine,21.8,35.31069157,-83.18275243
,,1059,Pinus strobus,eastern white pine,14.6,35.31069158,-83.18275242
,,1060,Pinus strobus,eastern white pine,16.5,35.31069159,-83.18275241
,,1061,Pinus strobus,eastern white pine,13.5,35.3106916,-83.1827524
,,1062,Pinus strobus,eastern white pine,18,35.31069161,-83.18275239
,,1063,Pinus strobus,eastern white pine,9.4,35.31069162,-83.18275238
,,1064,Pinus strobus,eastern white pine,11.4,35.31069163,-83.18275237
,,1065,Pinus strobus,eastern white pine,13.3,35.31069164,-83.18275236
,,1066,Pinus strobus,eastern white pine,18.9,35.31069165,-83.18275235
,,1067,Pinus strobus,eastern white pine,17.8,35.31069166,-83.18275234
,,1068,Pinus strobus,eastern white pine,14.7,35.31069167,-83.18275233
,,1069,Pinus strobus,eastern white pine,17,35.31069168,-83.18275232
,,1070,Pinus strobus,eastern white pine,20.3,35.31069169,-83.18275231
,,1071,Pinus strobus,eastern white pine,18.4,35.3106917,-83.1827523
,,1072,Pinus strobus,eastern white pine,22.2,35.31069171,-83.18275229
,,1073,Pinus strobus,eastern white pine,21.2,35.31069172,-83.18275228
,,1074,Pinus strobus,eastern white pine,20.3,35.31069173,-83.18275227
,,1075,Pinus strobus,eastern white pine,16.7,35.31069174,-83.18275226
,,1076,Pinus strobus,eastern white pine,17.8,35.31069175,-83.18275225
,,1077,Pinus strobus,eastern white pine,10.1,35.31069176,-83.18275224
,,1078,Pinus strobus,eastern white pine,19.9,35.31069177,-83.18275223
,,1079,Pinus strobus,eastern white pine,16.8,35.31069178,-83.18275222
,,1080,Pinus strobus,eastern white pine,17.8,35.31069179,-83.18275221
,,1081,Pinus strobus,eastern white pine,24.1,35.3106918,-83.1827522
,,1082,Pinus strobus,eastern white pine,24.9,35.31069181,-83.18275219
,,1083,Pinus strobus,eastern white pine,18.5,35.31069182,-83.18275218
,,1084,Pinus strobus,eastern white pine,22.5,35.31069183,-83.18275217
,,1085,Pinus strobus,eastern white pine,24.1,35.31069184,-83.18275216
,,1086,Pinus strobus,eastern white pine,21.3,35.31069185,-83.18275215
,,1087,Pinus strobus,eastern white pine,19.7,35.31069186,-83.18275214
,,1088,Pinus strobus,eastern white pine,24.5,35.31069187,-83.18275213
,,1089,Acer rubrum,red maple,34,35.31069188,-83.18275212
,,1090,Platanus occidentalis,American sycamore,36.1,35.31069189,-83.18275211
,,1091,Quercus phellos,willow oak,31.4,35.3106919,-83.1827521
,,1092,Quercus phellos,willow oak,35.2,35.31069191,-83.18275209
,,1093,Juglans nigra,black walnut,13.8,35.31069192,-83.18275208
,,1094,Ilex opaca,American holly,10,35.31069193,-83.18275207
,,1095,Tsuga canadensis,eastern hemlock,14.2,35.31069194,-83.18275206
,,1096,Tsuga canadensis,eastern hemlock,18,35.31069195,-83.18275205
,,1097,Tsuga canadensis,eastern hemlock,12,35.31069196,-83.18275204
,,1098,Quercus coccinea,scarlet oak,28.9,35.31069197,-83.18275203
,,1099,Tsuga canadensis,eastern hemlock,10,35.31069198,-83.18275202
,,1100,Quercus coccinea,scarlet oak,21.4,35.31069199,-83.18275201
,,1101,Tsuga canadensis,eastern hemlock,22.2,35.310692,-83.182752
,,1102,Tsuga canadensis,eastern hemlock,11.2,35.31069201,-83.18275199
,,1103,Juglans nigra,black walnut,10.2,35.31069202,-83.18275198
,,1104,Ilex opaca,American holly,11.2,35.31069203,-83.18275197
,,1105,Robinia pseudoacacia,black locust,11.9,35.31069204,-83.18275196
,,1106,Robinia pseudoacacia,black locust,14.7,35.31069205,-83.18275195
,,1107,Robinia pseudoacacia,black locust,13.9,35.31069206,-83.18275194
,,1108,Robinia pseudoacacia,black locust,14.3,35.31069207,-83.18275193
,,1109,Ligustrum sinense,Chinese privet,10.3,35.31069208,-83.18275192
,,1110,Robinia pseudoacacia,black locust,19.2,35.31069209,-83.18275191
,,1111,Robinia pseudoacacia,black locust,23.5,35.3106921,-83.1827519
,,1112,Robinia pseudoacacia,black locust,10.6,35.31069211,-83.18275189
,,1113,Robinia pseudoacacia,black locust,10.6,35.31069212,-83.18275188
,,1114,Robinia pseudoacacia,black locust,13.4,35.31069213,-83.18275187
,,1115,Robinia pseudoacacia,black locust,10,35.31069214,-83.18275186
,,1116,Liriodendron tulipifera,yellow poplar,31.5,35.31069215,-83.18275185
,,1117,Robinia pseudoacacia,black locust,9.5,35.31069216,-83.18275184
,,1118,Robinia pseudoacacia,black locust,11.5,35.31069217,-83.18275183
,,1119,Robinia pseudoacacia,black locust,10.2,35.31069218,-83.18275182
,,1120,Robinia pseudoacacia,black locust,16.3,35.31069219,-83.18275181
,,1121,Acer saccharum,sugar maple,15.5,35.3106922,-83.1827518
,,1122,Tsuga canadensis,eastern hemlock,9.5,35.31069221,-83.18275179
,,1123,Tsuga canadensis,eastern hemlock,11.7,35.31069222,-83.18275178
,,1124,Tsuga canadensis,eastern hemlock,11.2,35.31069223,-83.18275177
,,1125,Tsuga canadensis,eastern hemlock,14.1,35.31069224,-83.18275176
,,1126,Acer saccharum,sugar maple,22.4,35.31069225,-83.18275175
,,1127,Acer negundo,boxelder maple,9.5,35.31069226,-83.18275174
,,1128,Acer negundo,boxelder maple,11.8,35.31069227,-83.18275173
,,1129,Acer negundo,boxelder maple,20.8,35.31069228,-83.18275172
,,1130,Acer negundo,boxelder maple,11.6,35.31069229,-83.18275171
,,1131,Betula nigra,river birch,13,35.3106923,-83.1827517
,,1132,Betula nigra,river birch,16.3,35.31069231,-83.18275169
,,1133,Betula nigra,river birch,13.3,35.31069232,-83.18275168
,,1134,Betula nigra,river birch,13.7,35.31069233,-83.18275167
,,1135,Acer saccharum,sugar maple,14.8,35.31069234,-83.18275166
,,1136,Acer saccharum,sugar maple,14.7,35.31069235,-83.18275165
,,1137,Acer saccharum,sugar maple,9.8,35.31069236,-83.18275164
,,1138,Taxodium distichum,baldcypress,17.6,35.31069237,-83.18275163
,,1139,Taxodium distichum,baldcypress,20.3,35.31069238,-83.18275162
,,1140,Taxodium distichum,baldcypress,19.3,35.31069239,-83.18275161
,,1141,Betula nigra,river birch,11.8,35.3106924,-83.1827516
,,1142,Betula nigra,river birch,11.7,35.31069241,-83.18275159
,,1143,Betula nigra,river birch,10.8,35.31069242,-83.18275158
,,1144,Betula nigra,river birch,10.5,35.31069243,-83.18275157
,,1145,Betula nigra,river birch,10.9,35.31069244,-83.18275156
,,1146,Betula nigra,river birch,9.3,35.31069245,-83.18275155
,,1147,Betula nigra,river birch,10.1,35.31069246,-83.18275154
,,1148,Betula nigra,river birch,13.5,35.31069247,-83.18275153
,,1149,Acer saccharum,sugar maple,24,35.31069248,-83.18275152
,,1150,Acer saccharum,sugar maple,12.1,35.31069249,-83.18275151
,,1151,Acer saccharum,sugar maple,9.4,35.3106925,-83.1827515
,,1152,Fraxinus pennsylvanica,green ash,13.6,35.31069251,-83.18275149
,,1153,Acer rubrum,red maple,11.3,35.31069252,-83.18275148
,,1154,Fraxinus pennsylvanica,green ash,12.5,35.31069253,-83.18275147
,,1155,Betula nigra,river birch,10.4,35.31069254,-83.18275146
,,1156,Betula nigra,river birch,11.4,35.31069255,-83.18275145
,,1157,Acer rubrum,red maple,13.1,35.31069256,-83.18275144
,,1158,Acer saccharum,sugar maple,17.6,35.31069257,-83.18275143
,,1159,Acer rubrum,red maple,22.1,35.31069258,-83.18275142
,,1160,Acer rubrum,red maple,20.4,35.31069259,-83.18275141
,,1161,Cladrastis kentukea,yellowwood,13.9,35.3106926,-83.1827514
,,1162,Cladrastis kentukea,yellowwood,21.9,35.31069261,-83.18275139
,,1163,Acer rubrum,red maple,10.9,35.31069262,-83.18275138
,,1164,Acer rubrum,red maple,12.9,35.31069263,-83.18275137
,,1165,Acer saccharum,sugar maple,15.7,35.31069264,-83.18275136
,,1166,Acer saccharum,sugar maple,22.7,35.31069265,-83.18275135
,,1167,Populus deltoides,eastern cottonwood,10.4,35.31069266,-83.18275134
,,1168,Acer saccharum,sugar maple,20,35.31069267,-83.18275133
,,1169,Acer saccharum,sugar maple,15.3,35.31069268,-83.18275132
,,1170,Acer saccharum,sugar maple,21.6,35.31069269,-83.18275131
,,1171,Acer saccharum,sugar maple,11.5,35.3106927,-83.1827513
,,1172,Acer saccharum,sugar maple,17.5,35.31069271,-83.18275129
,,1173,Juglans nigra,black walnut,18.6,35.31069272,-83.18275128
,,1174,Juglans nigra,black walnut,20.8,35.31069273,-83.18275127
,,1175,Juglans nigra,black walnut,15.2,35.31069274,-83.18275126
,,1176,Quercus imbricaria,shingle oak,19,35.31069275,-83.18275125
,,1177,Carya tomentosa,mockernut hickory,19.2,35.31069276,-83.18275124
,,1178,Robinia pseudoacacia,black locust,18.6,35.31069277,-83.18275123
,,1179,Robinia pseudoacacia,black locust,14.5,35.31069278,-83.18275122
,,1180,Carya tomentosa,mockernut hickory,20.8,35.31069279,-83.18275121
,,1181,Carya glabra,pignut hickory,22.4,35.3106928,-83.1827512
,,1182,Liriodendron tulipifera,yellow poplar,38.6,35.31069281,-83.18275119
,,1183,Carya tomentosa,mockernut hickory,14.6,35.31069282,-83.18275118
,,1184,Quercus velutina,black oak,15.6,35.31069283,-83.18275117
,,1185,Acer rubrum,red maple,17.1,35.31069284,-83.18275116
,,1186,Acer saccharum,sugar maple,17.3,35.31069285,-83.18275115
,,1187,Acer saccharum,sugar maple,13.1,35.31069286,-83.18275114
,,1188,Acer saccharum,sugar maple,11.3,35.31069287,-83.18275113
,,1189,Nyssa sylvatica,blackgum,12.9,35.31069288,-83.18275112
,,1190,Picea abies,Norway spruce,23.5,35.31069289,-83.18275111
,,1191,Acer rubrum,red maple,16,35.3106929,-83.1827511
,,1192,Cladrastis kentukea,yellowwood,13.9,35.31069291,-83.18275109
,,1193,Cladrastis kentukea,yellowwood,21.9,35.31069292,-83.18275108
,,1194,Picea abies,Norway spruce,17,35.31069293,-83.18275107
,,1195,Picea abies,Norway spruce,22,35.31069294,-83.18275106
,,1196,Picea abies,Norway spruce,12,35.31069295,-83.18275105
,,1197,Juglans nigra,black walnut,26.1,35.31069296,-83.18275104
,,1198,Juglans nigra,black walnut,22.7,35.31069297,-83.18275103
,,1199,Juglans nigra,black walnut,20.2,35.31069298,-83.18275102
,,1200,Juglans nigra,black walnut,11.5,35.31069299,-83.18275101
,,1201,Juglans nigra,black walnut,12.5,35.310693,-83.182751
,,1202,Juglans nigra,black walnut,16.1,35.31069301,-83.18275099
,,1203,Juglans nigra,black walnut,9.2,35.31069302,-83.18275098
,,1204,Juglans nigra,black walnut,6.4,35.31069303,-83.18275097
,,1205,Liriodendron tulipifera,yellow poplar,9.6,35.31069304,-83.18275096
,,1206,Juglans nigra,black walnut,15.4,35.31069305,-83.18275095
,,1207,Juglans nigra,black walnut,19.1,35.31069306,-83.18275094
,,1208,Juglans nigra,black walnut,20.6,35.31069307,-83.18275093
,,1209,Juglans nigra,black walnut,19.7,35.31069308,-83.18275092
,,1210,Quercus imbricaria,shingle oak,24.5,35.31069309,-83.18275091
,,1211,Juglans nigra,black walnut,17.9,35.3106931,-83.1827509
,,1212,Liriodendron tulipifera,yellow poplar,13.9,35.31069311,-83.18275089
,,1213,Juglans nigra,black walnut,19,35.31069312,-83.18275088
,,1214,Juglans nigra,black walnut,27.5,35.31069313,-83.18275087
,,1215,Juglans nigra,black walnut,25.8,35.31069314,-83.18275086
,,1216,Robinia pseudoacacia,black locust,29.4,35.31069315,-83.18275085
,,1217,Thuja occidentalis,arborvitae,10.2,35.31069316,-83.18275084
,,1218,Thuja occidentalis,arborvitae,9.6,35.31069317,-83.18275083
,,1219,Thuja occidentalis,arborvitae,9.8,35.31069318,-83.18275082
,,1220,Thuja occidentalis,arborvitae,11,35.31069319,-83.18275081
,,1221,Tsuga canadensis,eastern hemlock,16.7,35.3106932,-83.1827508
,,1222,Pinus strobus,eastern white pine,17.1,35.31069321,-83.18275079
,,1223,Pinus strobus,eastern white pine,16.3,35.31069322,-83.18275078
,,1224,Pinus strobus,eastern white pine,17.8,35.31069323,-83.18275077
,,1225,Thuja occidentalis,arborvitae,9.4,35.31069324,-83.18275076
,,1226,Thuja occidentalis,arborvitae,9.3,35.31069325,-83.18275075
